Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,naive bayes,oversampling,best first,no cost sensitive,0.1703704,0.0256410,0.9743590,0.8296296,0.6969697,0.1703704,0.7891453,0.1922058
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,naive bayes,oversampling,best first,no cost sensitive,0.0204082,0.0000000,1.0000000,0.9795918,1.0000000,0.0204082,0.6245348,0.0254467
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,naive bayes,oversampling,best first,no cost sensitive,0.2000000,0.0876623,0.9123377,0.8000000,0.1818182,0.2000000,0.6317235,0.1074868
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,naive bayes,oversampling,best first,no cost sensitive,0.1911765,0.0158730,0.9841270,0.8088235,0.7428571,0.1911765,0.7075034,0.2442431
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,naive bayes,oversampling,best first,no cost sensitive,0.1642857,0.0133111,0.9866889,0.8357143,0.7419355,0.1642857,0.7623722,0.2152485
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,naive bayes,oversampling,best first,no cost sensitive,0.1186441,0.0113798,0.9886202,0.8813559,0.4666667,0.1186441,0.8030595,0.1629133
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,ibk,oversampling,best first,no cost sensitive,0.6592593,0.7205128,0.2794872,0.3407407,0.2405405,0.6592593,0.4007217,-0.0390377
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,ibk,oversampling,best first,no cost sensitive,0.0969388,0.0790274,0.9209726,0.9030612,0.4222222,0.0969388,0.5013492,0.0212150
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,ibk,oversampling,best first,no cost sensitive,0.5000000,0.2110390,0.7889610,0.5000000,0.1875000,0.5000000,0.6485119,0.1649166
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,ibk,oversampling,best first,no cost sensitive,0.4338235,0.1975309,0.8024691,0.5661765,0.3450292,0.4338235,0.6071299,0.2152396
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,ibk,oversampling,best first,no cost sensitive,0.5142857,0.1647255,0.8352745,0.4857143,0.4210526,0.5142857,0.7234134,0.3221979
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,ibk,oversampling,best first,no cost sensitive,0.4915254,0.1991465,0.8008535,0.5084746,0.1715976,0.4915254,0.6394628,0.1577045
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,random forest,undersampling,best first,no cost sensitive,0.5703704,0.6205128,0.3794872,0.4296296,0.2413793,0.5703704,0.6122032,-0.0346866
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,random forest,undersampling,best first,no cost sensitive,0.0867347,0.0395137,0.9604863,0.9132653,0.5666667,0.0867347,0.4847249,0.0569745
BOOKKEEPER,1408,0.3282051,549.0000000,549.0000000,random forest,undersampling,best first,no cost sensitive,0.6500000,0.3051948,0.6948052,0.3500000,0.1718062,0.6500000,0.7064259,0.1528314
BOOKKEEPER,2084,0.4857809,685.0000000,685.0000000,random forest,undersampling,best first,no cost sensitive,0.6397059,0.2821869,0.7178131,0.3602941,0.3522267,0.6397059,0.7298021,0.2728726
BOOKKEEPER,2787,0.6496503,825.0000000,825.0000000,random forest,undersampling,best first,no cost sensitive,0.6785714,0.2562396,0.7437604,0.3214286,0.3815261,0.6785714,0.7768541,0.3252200
BOOKKEEPER,3528,0.8223776,884.0000000,884.0000000,random forest,undersampling,best first,no cost sensitive,0.6610169,0.2972973,0.7027027,0.3389831,0.1572581,0.6610169,0.7225691,0.1474178
BOOKKEEPER,358,0.0834499,293.0000000,293.0000000,naive bayes,undersampling,best first,no cost sensitive,0.1703704,0.0333333,0.9666667,0.8296296,0.6388889,0.1703704,0.7802374,0.1802511
BOOKKEEPER,883,0.2058275,489.0000000,489.0000000,naive bayes,undersampling,best first,no cost sensitive,0.0306122,0.0000000,1.0000000,0.9693878,1.0000000,0.0306122,0.5982104,0.0380721
